RR Publisher,RR Name,Id,Level 1 Indicator,Level 2 Indicator,Level 3 Indicator,Level 4 Indicator,Dependencies,Calculation,Score Low,Score High,Measure,Level,Data Source,Survey Instrument,Collection Method
World Bank,Ease of Doing Business Index,edbi_con_4_a1,,,,Accessibility of building regulations,,"A score of 1 is assigned if any building regulations (including the building code) or any regulations dealing with construction permits are available on a website that is updated as soon as the regulations change; 0.5 if the building regulations are available free of charge (or for a nominal fee) at the relevant permit-issuing authority; 0 if the building regulations are distributed to building professionals through an official gazette free of charge (or for a nominal fee), if they must be purchased or if they are not made easily accessible anywhere.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_a2,,,,Clarity of requirements for obtaining a building permit,,"A score of 1 is assigned if the building regulations (including the building code) or any accessible website, brochure or pamphlet clearly specifies the list of required documents to submit, the fees to be paid and all required preapprovals of the drawings or plans by the relevant agencies; 0 if none of these sources specify any of these requirements or if these sources specify fewer than the three requirements.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_b,,,Quality control before construction index,,edbi_con_4_b1,,0,1,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_b1,,,,Whether licensed or technical experts approve building plans,,"A score of 1 is assigned if the national association of architects or engineers (or its equivalent) must review the building plans, if an independent firm or expert who is a licensed architect or engineer must review the plans, if the architect or engineer who prepared the plans must submit an attestation to the permit-issuing authority stating that the plans are in compliance with the building regulations or if a licensed architect or engineer is part of the committee or team that approves the plans at the relevant permit-issuing authority; 0 if no licensed architect or engineer is involved in the review of the plans to ensure their compliance with building regulations.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_c,,,Quality control during construction index,,"edbi_con_4_c1, edbi_con_4_c2",,0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_c1,,,,Types of inspections legally mandated during construction,,"A score of 2 is assigned if both of the following conditions are met: first, an in-house supervising engineer (that is, an employee of the building company), an external supervising engineer or an external inspections firm is legally mandated to oversee the construction of the building throughout the entire construction period, or a government agency is legally mandated to conduct phased inspections; and second, at least one party is legally mandated to conduct risk-based inspections. A score of 1 is assigned if an in-house supervising engineer (that is, an employee of the building company), an external supervising engineer or an external inspections firm is legally mandated to oversee the construction of the building throughout the entire construction period, or if a government agency is legally mandated to conduct phased or risk-based inspections alone, with no mandate for having risk-based inspections with another type of inspection as well. A score of 0 is assigned if a government agency is legally mandated to conduct unscheduled inspections, if legally mandated inspections are to inspect only the safety of the construction site and not the safety of the building itself, or if no inspections are mandated by law during construction.",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_c2,,,,Implementation of legally mandated inspections in practice,," A score of 1 is assigned if the legally mandated inspections during construction always occur in practice (including if a supervising engineer or firm must be hired); 0 if the legally mandated inspections do not occur in practice, if the inspections occur most of the time but not always, if inspections commonly occur in practice even if not mandated by law or if the inspections that occur in practice are unscheduled inspections.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_d,,,Quality control after construction index,,"edbi_con_4_d1, edbi_con_4_d2",,0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_d1,,,,Final inspection legally mandated after construction,," A score of 1 is assigned if the legally mandated inspections during construction always occur in practice (including if a supervising engineer or firm must be hired); 0 if the legally mandated inspections do not occur in practice, if the inspections occur most of the time but not always, if inspections commonly occur in practice even if not mandated by law or if the inspections that occur in practice are unscheduled inspections.",0,2,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_d2,,,,Implementation of legally mandated inspections in practice,,"A score of 1 is assigned if the legally mandated final inspection after construction always occurs in practice or if a supervising engineer or firm takes responsibility for verifying that the building has been built in accordance with the approved plans and existing building regulations; 0 if the legally mandated final inspection does not occur in practice, if the legally mandated final inspection occurs most of the time but not always or if a final inspection commonly occurs in practice even if not mandated by law.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_e,,,Liability and insurance regimes index,,"edbi_con_4_e1, edbi_con_4_e2",,0,2,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_e1,,,,Parties held legally liable for structural flaws after building occupancy ,,"A score of 1 is assigned if at least two of the following parties are held legally liable for structural flaws or problems in the building once it is occupied: the architect or engineer who designed the plans for the building, the professional in charge of supervising the construction, the professional or agency that conducted the inspections or the construction company; 0.5 if one of the parties is held legally liable for structural flaws or problems in the building once it is occupied; 0 if no party is held legally liable for structural flaws or problems in the building once it is occupied, if the project owner or investor is the only party held liable, if the liability must be determined by the court or if the liability must be stipulated in a contract.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_e2,,,,"Parties legally mandated to obtain insurance to cover structural flaws, after building occupancy or insurance is commonly obtained in practice",,"A score of 1 is assigned if the architect or engineer who designed the plans for the building, the professional in charge of supervising the construction, the professional or agency that conducted the inspections, the construction company, or the project owner or investor is required by law to obtain an insurance policy to cover possible structural flaws or problems in the building once it is occupied or if an insurance policy is commonly obtained in practice by the majority of any of these parties even if not required by law; 0 if no party is required by law to obtain insurance and insurance is not commonly obtained in practice by any party, if the requirement to obtain an insurance policy is stipulated in a contract and not in the law, if any party must obtain workers’ safety insurance to cover the safety of workers during construction but not insurance that would cover defects after building occupancy or if any party is required to pay for any damages caused on their own without having to obtain an insurance policy.",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_f,,,Professional certifications index ,,"edbi_con_4_f1, edbi_con_4_f2",,0,4,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_f1,,,,Parties held legally liable for structural flaws after building occupancy ,,"A score of 2 is assigned if this professional must have a minimum number of years of practical experience, must have a university degree (a minimum of a bachelor’s) in architecture or engineering and must also either be a registered member of the national order (association) of architects or engineers or pass a qualification exam. A score of 1 is assigned if the professional must have a university degree (a minimum of a bachelor’s) in architecture or engineering and must also either have a minimum number of years of practical experience or be a registered member of the national order (association) of architects or engineers or pass a qualification exam. A score of 0 is assigned if the professional must meet only one of the requirements, if the professional must meet two of the requirements but neither of the two is to have a university degree, or if the professional is subject to no qualification requirements",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4_f2,,,,"Parties legally mandated to obtain insurance to cover structural flaws, after building occupancy or insurance is commonly obtained in practice",,"A score of 2 is assigned if this professional must have a minimum number of years of practical experience, must have a university degree (a minimum of a bachelor’s) in architecture or engineering and must also either be a registered member of the national order (association) of architects or engineers or pass a qualification exam. A score of 1 is assigned if the professional must have a university degree (a minimum of a bachelor’s) in architecture or engineering and must also either have a minimum number of years of practical experience or be a registered member of the national order (association) of architects or engineers or pass a qualification exam. A score of 0 is assigned if the professional must meet only one of the requirements, if the professional must meet two of the requirements but neither of the two is to have a university degree, or if the professional is subject to no qualification requirements",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc,Getting Credit,,,,"edbi_gc_1, edbi_gc_2, edbi_gc_3",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_gc_1,,Credit registry coverage (% of adults),,,,"Credit bureau coverage reports the number of individuals and firms listed in a credit bureau’s database as of January 1, 2015, plus the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the bureau in the period between January 1, 2014, and January 1, 2015. A credit bureau is defined as a private firm or nonprofit organization that maintains a database on the creditworthiness of borrowers (individuals or firms) in the financial system and facilitates the exchange of credit information among creditors",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_2,,Credit bureau coverage (% of adults),,,,"Credit registry coverage reports the number of individuals and firms listed in a credit registry’s database as of January 1, 2015, plus the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the registry in the period between January 1, 2014, and January 1, 2015. A credit registry is defined as a database managed by the public sector, usually by the central bank or the superintendent of banks, that collects information on the creditworthiness of borrowers (individuals or firms) in the financial system and facilitates the exchange of credit information among banks and other regulated financial institutions (while their primary objective is to assist banking supervision).",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3,,Depth of credit information index,,,"edbi_gc_3a, edbi_gc_3b, edbi_gc_3c, edbi_gc_3d, edbi_gc_3e, edbi_gc_3f, edbi_gc_3g, edbi_gc_3h",,0,8,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_a,,,"Both positive credit information (for example, original loan amounts, outstanding loan amounts and a pattern of on-time repayments) and negative information (for example, late payments and the number and amount of defaults) are distributed",,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_b,,,"Both positive credit information (for example, original loan amounts, outstanding loan amounts and a pattern of on-time repayments) and negative information (for example, late payments and the number and amount of defaults) are distributed ",,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_c,,,Data from retailers or utility companies are distributed in addition to data from financial institutions ,,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_d,,,At least two years of historical data are distributed. Credit bureaus and registries that erase data on defaults as soon as they are repaid or distribute negative information more than 10 years after defaults are repaid receive a score of 0 for this component ,,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_e,,,Data on loan amounts below 1% of income per capita are distributed ,,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_f,,,"By law, borrowers have the right to access their data in the largest credit bureau or registry in the economy. Credit bureaus and registries that charge more than 1% of income per capita for borrowers to inspect their data receive a score of 0 for this component ",,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_g,,,"Banks and other financial institutions have online access to the credit information (for example, through a web interface, a system-to-system connection or both) ",,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_3_h,,,Bureau or registry credit scores are offered as a value added service to help banks and other financial institutions assess the creditworthiness of borrowers ,,,A score of 1 is assigned for each of the eight features of the credit bureau or credit registry (or both),0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4,,Strength of Legal Rights Index,,,"edbi_gc_4a, edbi_gc_4b, edbi_gc_4c, edbi_gc_4d, edbi_gc_4e, edbi_gc_4f, edbi_gc_4g, edbi_gc_4h, edbi_gc_4i, edbi_gc_4j, edbi_gc_4k, edbi_gc_4l",,,,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_a,,,"The economy has an integrated or unified legal framework for secured transactions that extends to the creation, publicity and enforcement of four functional equivalents to security interests in movable assets: fiduciary transfers of title; financial leases; assignments or transfers of receivables; and sales with retention of title ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_b,,,"The law allows a business to grant a nonpossessory security right in a single category of movable assets (such as machinery or inventory), without requiring a specific description of the collateral ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_c,,,"The law allows a business to grant a nonpossessory security right in substantially all its movable assets, without requiring a specific description of the collateral ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_d,,,"A security right can be given over future or after-acquired assets and extends automatically to the products, proceeds or replacements of the original assets ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_e,,,"A general description of debts and obligations is permitted in the collateral agreement and in registration documents, all types of debts and obligations can be secured between the parties, and the collateral agreement can include a maximum amount for which the assets are encumbered ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_f,,,"A collateral registry or registration institution for security interests granted over movable property by incorporated and nonincorporated entities is in operation, unified geographically and with an electronic database indexed by debtors’ names ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_g,,,The collateral registry is a notice-based registry—a registry that files only a notice of the existence of a security interest (not the underlying documents) and does not perform a legal review of the transaction. The registry also publicizes functional equivalents to security interests ,,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_h,,,"The collateral registry has modern features such as those that allow secured creditors (or their representatives) to register, search, amend or cancel security interests online ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_i,,,"Secured creditors are paid first (for example, before tax claims and employee claims) when a debtor defaults outside an insolvency procedure ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_j,,,"Secured creditors are paid first (for example, before tax claims and employee claims) when a business is liquidated ",,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_k,,,The law allows parties to agree in the collateral agreement that the lender may enforce its security right out of court; the law allows public and private auctions and also permits the secured creditor to take the asset in satisfaction of the debt ,,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_gc_4_l,,,The law allows parties to agree in the collateral agreement that the lender may enforce its security right out of court; the law allows public and private auctions and also permits the secured creditor to take the asset in satisfaction of the debt ,,,A score of 0 or 1 is assigned for each of the features of the laws,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge,Getting Electricity,,,,"edbi_ge_1, edbi_ge_2, edbi_ge_3, edbi_ge_4, edbi_ge_5",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_ge_1,,Procedures (number),,,,"Submitting all relevant documents and obtaining all necessary clearances and permits, Completing all required notifications and receiving all necessary inspections, Obtaining external installation works and possibly purchasing material for these works, Concluding any necessary supply contract and obtaining final supply",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_2,,Time (days),,,,"Is at least one calendar day, each procedure starts on a separate day, does not include time spent gathering information, reflects the time spent in practice, with little follow-up and no prior contact with officials",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_3,,Cost required to complete each procedure (% of income per capita),,,,"Official costs only, no bribes, Value added tax is excluded",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_4,,Price of electricity (US cents per kWh),,,,"On the basis of the assumptions about monthly consumption, a monthly bill for a commercial warehouse in the largest business city of the economy is computed for the month of March ",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5,,Reliability of supply and transparency of tariff index,,,"edbi_ge_5_a, edbi_ge_5_b, edbi_ge_5_c, edbi_ge_5_d, edbi_ge_5_e, edbi_ge_5_f","Sum of the scores for total duration and frequency of outages per customer year , mechanisms for monitoring outages , mechanisms for restoring service , regulatory monitoring , financial deterrents aimed at limiting outages , communication of tariffs and tariff changes ",0,8,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_a,,,Mechanisms for monitoring outages ,,,What tools are used by the distribution utility to monitor power outages ,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_b,,,Mechanisms for restoring service,,,What tools are used by the distribution utility to restore power supply ,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_c,,,Regulatory monitoring,,,"Whether a regulator—that is, an entity separate from the utility—monitors the utility’s performance on reliability of supply ",0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_d,,,Financial deterrents aimed at limiting outages,,,Whether financial deterrents exist to limit outages ,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_e,,,Communication of tariffs and tariff changes,,,Whether electricity tariffs are transparent and easily available ,0,1,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_f,,,Total duration and frequency of outages per customer a year,,"edbi_ge_5_f1, edbi_ge_5_f2","If SAIDI and SAIFI are below 12 (equivalent to an outage of one hour each month), a score of 1 is assigned. If SAIDI and SAIFI are below 4 (equivalent to an outage of one hour each quarter), 1 additional point is assigned. Finally, if SAIDI and SAIFI are below 1 (equivalent to an outage of one hour per year), 1 more point is assigned.",0,3,,3rd order index,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_f1,,,,"The system average interruption duration index (SAIDI), which is the average total duration of outages over the course of a year for each customer servied",,,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_5_f2,,,,"The system average interruption frequency index (SAIFI), which is the average number of service interruptions experienced by a customer in one year",,,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_ge_6,,Price of electricity (US cents per kWh),,,,"On the basis of the assumptions about monthly consumption, a monthly bill for a commercial warehouse in the largest business city of the economy is computed for the month of March ",,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_pmi,Protecting Minority Investors,,,,"edbi_pmi_1, edbi_pmi_2","The extent of conflict of interest regulation index is the average of the extent of disclosure index, the extent of director liability index and the ease of shareholder suits index",0,10,,1st order index,,,
