RR Publisher,RR Name,Code,Level 1,Level 2,Level 3,Level 4,Dependencies,Calculation,Score Low,Score High,Level,Measure,Survey Instrument,Collection Method,Data Source
Freedom House,Freedom in the World,fitw_cl_1_b,,,Are religious institutions and communities free to practice their faith and express themselves in public and private,,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_1_c,,,"Is there academic freedom, and is the educational system free of extensive political indoctrination",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_1_d,,,Is there open and free private discussion,,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_2,,Associational and Organizational Rights,,,"fitw_cl_2_a, fitw_cl_2_b, fitw_cl_2_c",,0,12,2nd order index,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_2_a,,,"Is there freedom of assembly, demonstration, and open public discussion",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_2_b,,,Is there freedom for nongovernmental organizations?,,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_2_c,,,"Are there free trade unions and peasant organizations or equivalents, and is there effective collective bargaining? Are there free professional and other private organizations",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_3,,Rule of Law,,,"fitw_cl_3_a, fitw_cl_3_b, fitw_cl_3_c, fitw_cl_3_d",,0,16,2nd order index,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_3_a,,,Is there an independent judiciary,,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_3_b,,,Does the rule of law prevail in civil and criminal matters? Are police under direct civilian control,,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_3_c,,,"Is there protection from political terror, unjustified imprisonment, exile, or torture, whether by groups that support or oppose the system? Is there freedom from war and insurgencies",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_3_d,,,"Do laws, policies, and practices guarantee equal treatment of various segments of the population",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_4,,Personal Autonomy and Individual Rights,,,"fitw_cl_4_a, fitw_cl_4_b. fitw_cl_4_c, fitw_cl_4_d",,0,16,2nd order index,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_4_a,,,"Do individuals enjoy freedom of travel or choice of residence, employment, or institution of higher education",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_4_b,,,"Do individuals have the right to own property and establish private businesses? Is private business activity unduly influenced by government officials, the security forces, political parties/organizations, or organized crime",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_4_c,,,"Are there personal social freedoms, including gender equality, choice of marriage partners, and size of family",,,,0,4,variable,Expert Analysis,,,Primary
Freedom House,Freedom in the World,fitw_cl_4_d,,,Is there equality of opportunity and the absence of economic exploitation,,,,0,4,variable,Expert Analysis,,,Primary
